Epoch	Time(sec)	loss_train	rmse	pearson	spearman	f1	auc	r_square	R2
1	13182.051073662005	5.722728729248047	1.0591058	0.2887888477586831	0.2884087132279196	0.41764416981713937	0.5696635795027103	0.012072212556806239	0.08339899858978783
1	26416.64210205432	7.719303131103516	1.0589205	0.5039044913210644	0.5023273090423908	0.5781819198196269	0.6524238121810604	0.22946870063027613	0.25391973637354065
1	39711.48090135399	3.56366229057312	0.98994	0.5443846554759705	0.5427017811587871	0.6439261736312292	0.6887206054545989	0.2850665351619138	0.2963546531176911
1	53021.567620340735	3.4638490676879883	0.98382616	0.5930438751628092	0.6001848355433421	0.6525407171909134	0.7022445525339691	0.3416231724676888	0.3517010378681216
1	66336.61404759344	3.0221915245056152	0.9810674	0.6604923449036469	0.650059418914599	0.6192808351591701	0.7041913555749246	0.4295209485965824	0.4362501376763181
2	79711.6890113242	4.9662041664123535	0.9762873	0.5627719209929616	0.5609146648982584	0.6259554311551297	0.7089466921831716	0.1605365399190204	0.3167122350581082
2	93113.11946738139	5.0152459144592285	0.93999714	0.6290019160606233	0.6234011409421798	0.6884969632249884	0.7211911570708418	0.39282114022457004	0.3956434104079354
2	106484.39808949456	3.354363203048706	0.90188426	0.6449346259663442	0.6492058544380869	0.667550540667607	0.7239634207205564	0.40659717554936636	0.4159406717703483
2	119888.65015754849	3.925851345062256	0.9000905	0.6790490978000909	0.678077392698406	0.7141261161370529	0.7450683211791748	0.4489256781718519	0.46110767722311746
2	133333.8043245608	1.5971906185150146	0.9123568	0.7120950013744524	0.7027737908099645	0.679959616355376	0.7431609521626676	0.5066314987129195	0.5070792909824813
3	146787.15915221907	1.459612488746643	0.8531028	0.6202314414011055	0.6108523097641316	0.6049882196149361	0.706169856434395	0.3590129373505426	0.384687040902493
3	160210.51159777585	2.9931530952453613	0.8797269	0.6856317513541401	0.6800217387501779	0.7364842941240092	0.7526719300899588	0.46818650480240986	0.4700908984649454
3	173607.99692003708	3.357041120529175	0.886663	0.6755505924666796	0.6781105171550077	0.6489082359049112	0.7191037140234278	0.42645816700790684	0.4563686029820818
3	187031.95608729217	2.0458121299743652	0.8526135	0.7179451411325666	0.7170301244950074	0.7256418823408466	0.7581737734858346	0.5055275176232266	0.5154452256758609
3	200478.124619673	4.444883346557617	0.9048855	0.7192030093677443	0.7139193470225564	0.678168207477706	0.7427933444847215	0.514678778118489	0.5172529686836197
